Tank,Temp,Date
AQUA_225_TEMPERATURE_2,27.2,2019-01-31 08:23:22
AQUA_225_TEMPERATURE_2,27.3,2019-01-31 09:47:50
AQUA_225_TEMPERATURE_2,26.9,2019-01-31 10:30:00
AQUA_225_TEMPERATURE_2,27.1,2019-01-31 12:37:01
AQUA_225_TEMPERATURE_2,26.8,2019-01-31 13:19:35
AQUA_225_TEMPERATURE_2,27.1,2019-01-31 14:02:20
AQUA_225_TEMPERATURE_2,26.9,2019-01-31 14:44:53
AQUA_225_TEMPERATURE_2,27,2019-01-31 15:27:44
AQUA_225_TEMPERATURE_2,27.2,2019-01-31 16:10:34
AQUA_225_TEMPERATURE_2,27.5,2019-01-31 16:53:53
AQUA_225_TEMPERATURE_2,27.4,2019-01-31 21:45:16
AQUA_225_TEMPERATURE_2,27,2019-02-01 10:41:22
AQUA_225_TEMPERATURE_2,26.9,2019-02-01 11:22:53
AQUA_225_TEMPERATURE_2,27.1,2019-02-01 12:04:01
AQUA_225_TEMPERATURE_2,27,2019-02-01 12:45:09
AQUA_225_TEMPERATURE_2,26.9,2019-02-01 14:07:31
AQUA_225_TEMPERATURE_2,27.1,2019-02-01 14:48:45
AQUA_225_TEMPERATURE_2,27.2,2019-02-01 15:29:59
AQUA_225_TEMPERATURE_2,27.3,2019-02-01 16:52:38
AQUA_225_TEMPERATURE_2,27.5,2019-02-01 17:33:58
AQUA_225_TEMPERATURE_2,27.3,2019-02-01 18:15:17
AQUA_225_TEMPERATURE_2,27.4,2019-02-01 18:56:36
AQUA_225_TEMPERATURE_2,27.2,2019-02-01 19:37:50
AQUA_225_TEMPERATURE_2,27.4,2019-02-01 21:00:29
AQUA_225_TEMPERATURE_2,27.3,2019-02-01 21:41:49
AQUA_225_TEMPERATURE_2,27.6,2019-02-01 23:04:39
AQUA_225_TEMPERATURE_2,27.2,2019-02-01 23:46:04
AQUA_225_TEMPERATURE_2,27.1,2019-02-02 01:09:18
AQUA_225_TEMPERATURE_2,26.9,2019-02-02 02:32:48
AQUA_225_TEMPERATURE_2,27.1,2019-02-02 03:14:36
AQUA_225_TEMPERATURE_2,27.2,2019-02-02 03:56:25
AQUA_225_TEMPERATURE_2,26.9,2019-02-02 04:38:18
AQUA_225_TEMPERATURE_2,26.8,2019-02-02 05:20:18
AQUA_225_TEMPERATURE_2,27.1,2019-02-02 06:02:17
AQUA_225_TEMPERATURE_2,26.8,2019-02-02 07:26:04
AQUA_225_TEMPERATURE_2,26.9,2019-02-02 08:07:47
AQUA_225_TEMPERATURE_2,27,2019-02-02 08:49:12
AQUA_225_TEMPERATURE_2,27.2,2019-02-02 09:30:32
AQUA_225_TEMPERATURE_2,27.1,2019-02-02 10:11:46
AQUA_225_TEMPERATURE_2,26.8,2019-02-02 11:34:19
AQUA_225_TEMPERATURE_2,27.2,2019-02-02 12:56:53
AQUA_225_TEMPERATURE_2,26.8,2019-02-02 13:38:24
AQUA_225_TEMPERATURE_2,27,2019-02-02 14:20:00
AQUA_225_TEMPERATURE_2,26.8,2019-02-02 15:43:02
AQUA_225_TEMPERATURE_2,27.1,2019-02-02 16:24:50
AQUA_225_TEMPERATURE_2,27,2019-02-02 17:06:27
AQUA_225_TEMPERATURE_2,27.1,2019-02-02 18:29:34
AQUA_225_TEMPERATURE_2,27.3,2019-02-02 19:11:17
AQUA_225_TEMPERATURE_2,27.1,2019-02-02 19:52:59
AQUA_225_TEMPERATURE_2,26.8,2019-02-02 20:35:10
AQUA_225_TEMPERATURE_2,27.1,2019-02-02 21:17:09
AQUA_225_TEMPERATURE_2,26.9,2019-02-02 21:59:14
AQUA_225_TEMPERATURE_2,26.8,2019-02-02 22:41:25
AQUA_225_TEMPERATURE_2,27.1,2019-02-02 23:23:36
AQUA_225_TEMPERATURE_2,26.8,2019-02-03 00:48:20
AQUA_225_TEMPERATURE_2,26.9,2019-02-03 01:30:43
AQUA_225_TEMPERATURE_2,26.7,2019-02-03 02:12:59
AQUA_225_TEMPERATURE_2,26.2,2019-02-03 03:37:43
AQUA_225_TEMPERATURE_2,26.6,2019-02-03 04:20:00
AQUA_225_TEMPERATURE_2,26.4,2019-02-03 05:02:05
AQUA_225_TEMPERATURE_2,26.7,2019-02-03 07:08:43
